,foreigner,national_group,province_resid,age_atmaincrime,priorcrimes_dummy,priorcrimes_number_group,maincrime_cat,maincrime_violent,totalmaincrimes_number,maincrime_year,province_execution,maincrime_program2,maincrime_programduration_group,V28_temps_inici,V29_durada_programa,recid15_dummy,savry,female,foreigner_fem,national_group_fem,national_group_foreign,province_resid_fem,province_resid_foreign,age_atmaincrime_fem,age_atmaincrime_foreign,priorcrimes_dummy_fem,priorcrimes_dummy_foreign,priorcrimes_number_group_fem,priorcrimes_number_group_foreign,maincrime_cat_fem,maincrime_cat_foreign,maincrime_violent_fem,maincrime_violent_foreign,totalmaincrimes_number_fem,totalmaincrimes_number_foreign,maincrime_year_fem,maincrime_year_foreign,province_execution_fem,province_execution_foreign,maincrime_program2_fem,maincrime_program2_foreign,maincrime_programduration_group_fem,maincrime_programduration_group_foreign,V28_temps_inici_fem,V28_temps_inici_foreign,V29_durada_programa_fem,V29_durada_programa_foreign,female_foreign
29,True,Centre i Sud Amèrica,Barcelona,17.0,1,0.0,Contra les persones,1,1,2009,Barcelona,Mesures d'execució,0.0,91.0,30,1,True,True,True,Centre i Sud Amèrica,Centre i Sud Amèrica,Barcelona,Barcelona,17.0,17.0,1,1,0.0,0.0,Contra les persones,Contra les persones,1,1,1,1,2009,2009,Barcelona,Barcelona,Mesures d'execució,Mesures d'execució,0.0,0.0,91.0,91.0,30,30,True
30,True,Centre i Sud Amèrica,Barcelona,15.0,1,0.5,Contra les persones,1,2,2008,Barcelona,Mesures d'execució,0.0,468.0,119,1,True,False,False,Baseline,Centre i Sud Amèrica,Baseline,Barcelona,0.0,15.0,0,1,0.0,0.5,Baseline,Contra les persones,0,1,0,2,0,2008,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,0.0,0.0,468.0,0,119,False
31,False,Spain,Lleida,16.0,1,0.5,Contra les persones,1,2,2009,Barcelona,Mesures d'execució,0.0,178.0,121,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
32,False,Spain,Tarragona,16.0,1,1.0,Contra les persones,1,6,2009,Tarragona,Mesures d'execució,0.0,284.0,166,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
33,False,Spain,Barcelona,17.0,1,1.0,Contra les persones,1,3,2009,Barcelona,Mesures d'execució,0.5,280.0,238,1,True,False,False,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0,0,0.0,0.0,Baseline,Baseline,0,0,0,0,0,0,Baseline,Baseline,Baseline,Baseline,0.0,0.0,0.0,0.0,0,0,False
34,True,Centre i Sud Amèrica,Barcelona,17.0,1,0.0,Contra les persones,1,1,2010,Barcelona,ATM,0.0,71.0,48,1,True,False,False,Baseline,Centre i Sud Amèrica,Baseline,Barcelona,0.0,17.0,0,1,0.0,0.0,Baseline,Contra les persones,0,1,0,1,0,2010,Baseline,Barcelona,Baseline,ATM,0.0,0.0,0.0,71.0,0,48,False
35,True,Magrib,Barcelona,17.0,1,1.0,Contra les persones,1,4,2009,Barcelona,Mesures d'execució,0.0,297.0,89,1,True,False,False,Baseline,Magrib,Baseline,Barcelona,0.0,17.0,0,1,0.0,1.0,Baseline,Contra les persones,0,1,0,4,0,2009,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,0.0,0.0,297.0,0,89,False
36,True,Magrib,Barcelona,15.0,1,1.0,Contra les persones,1,10,2008,Barcelona,Mesures d'execució,0.5,318.0,209,1,True,False,False,Baseline,Magrib,Baseline,Barcelona,0.0,15.0,0,1,0.0,1.0,Baseline,Contra les persones,0,1,0,10,0,2008,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,0.5,0.0,318.0,0,209,False
37,True,Magrib,unknown,15.0,1,0.0,Contra les persones,1,1,2008,Barcelona,Mesures d'execució,0.0,658.0,29,1,True,False,False,Baseline,Magrib,Baseline,unknown,0.0,15.0,0,1,0.0,0.0,Baseline,Contra les persones,0,1,0,1,0,2008,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,0.0,0.0,658.0,0,29,False
38,True,Magrib,Barcelona,17.0,1,1.0,Contra les persones,1,3,2008,Barcelona,Mesures d'execució,0.0,640.0,58,1,True,False,False,Baseline,Magrib,Baseline,Barcelona,0.0,17.0,0,1,0.0,1.0,Baseline,Contra les persones,0,1,0,3,0,2008,Baseline,Barcelona,Baseline,Mesures d'execució,0.0,0.0,0.0,640.0,0,58,False
