entity_id,score,label_value,race,sex,age_cat
2318,True,False,Espanyol,Dona,16 i 17 anys
4486,False,False,Espanyol,Dona,16 i 17 anys
4067,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
2854,True,True,Centre i Sud Amèrica,Home,14 i 15 anys
3842,False,False,Centre i Sud Amèrica,Home,14 i 15 anys
852,False,False,Espanyol,Home,16 i 17 anys
2374,True,False,Magrib,Home,16 i 17 anys
4125,True,False,Magrib,Home,16 i 17 anys
2170,True,False,Espanyol,Home,16 i 17 anys
2538,True,False,Centre i Sud Amèrica,Home,16 i 17 anys
3861,True,False,Espanyol,Home,14 i 15 anys
1087,True,False,Espanyol,Home,16 i 17 anys
2159,True,False,Espanyol,Home,14 i 15 anys
1505,True,False,Espanyol,Dona,14 i 15 anys
1510,True,False,Espanyol,Home,16 i 17 anys
1367,True,False,Espanyol,Home,16 i 17 anys
3601,False,False,Espanyol,Dona,16 i 17 anys
3417,True,False,Centre i Sud Amèrica,Home,16 i 17 anys
4579,True,False,Centre i Sud Amèrica,Home,16 i 17 anys
786,True,False,Espanyol,Home,14 i 15 anys
1268,True,False,Espanyol,Dona,14 i 15 anys
2392,True,False,Magrib,Home,16 i 17 anys
3728,True,False,Magrib,Home,16 i 17 anys
4619,False,False,Espanyol,Home,16 i 17 anys
2457,False,False,Espanyol,Home,16 i 17 anys
4373,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
4635,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
3210,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
34,True,False,Espanyol,Dona,14 i 15 anys
984,False,False,Espanyol,Home,16 i 17 anys
1521,True,True,Espanyol,Home,16 i 17 anys
940,False,False,Espanyol,Home,14 i 15 anys
950,True,True,Espanyol,Home,14 i 15 anys
911,True,False,Magrib,Home,16 i 17 anys
4440,False,False,Espanyol,Home,16 i 17 anys
4006,False,False,Magrib,Home,16 i 17 anys
47,True,False,Centre i Sud Amèrica,Home,14 i 15 anys
471,True,False,Centre i Sud Amèrica,Home,16 i 17 anys
3587,True,False,Espanyol,Home,14 i 15 anys
1464,True,False,Espanyol,Home,14 i 15 anys
2890,False,False,Espanyol,Home,16 i 17 anys
4072,True,False,Centre i Sud Amèrica,Home,16 i 17 anys
3380,True,False,Espanyol,Home,14 i 15 anys
3834,False,False,Espanyol,Home,14 i 15 anys
3195,True,False,Espanyol,Home,14 i 15 anys
2314,True,False,Europa,Home,16 i 17 anys
1223,False,True,Centre i Sud Amèrica,Home,14 i 15 anys
4216,True,False,Espanyol,Home,16 i 17 anys
645,False,False,Espanyol,Home,16 i 17 anys
223,True,False,Espanyol,Home,16 i 17 anys
1239,False,False,Espanyol,Home,16 i 17 anys
2461,False,False,Espanyol,Dona,16 i 17 anys
63,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
1866,True,False,Espanyol,Home,16 i 17 anys
689,True,False,Espanyol,Home,16 i 17 anys
4347,False,False,Espanyol,Home,16 i 17 anys
238,False,False,Magrib,Home,14 i 15 anys
3315,True,True,Espanyol,Home,14 i 15 anys
4621,True,False,Espanyol,Home,16 i 17 anys
631,True,False,Espanyol,Home,16 i 17 anys
4648,False,False,Espanyol,Home,16 i 17 anys
4329,False,False,Magrib,Home,16 i 17 anys
1896,False,False,Espanyol,Home,16 i 17 anys
2950,True,False,Espanyol,Home,14 i 15 anys
4190,False,False,Espanyol,Home,14 i 15 anys
979,False,False,Espanyol,Home,16 i 17 anys
96,False,False,Centre i Sud Amèrica,Dona,16 i 17 anys
1176,False,False,Espanyol,Home,16 i 17 anys
1938,False,True,Espanyol,Home,16 i 17 anys
4081,False,False,Espanyol,Home,16 i 17 anys
3360,False,False,Magrib,Home,16 i 17 anys
4827,True,False,Espanyol,Home,14 i 15 anys
1461,True,False,Espanyol,Home,16 i 17 anys
4738,True,True,Espanyol,Home,16 i 17 anys
3111,True,False,Espanyol,Home,16 i 17 anys
2800,True,False,Centre i Sud Amèrica,Home,16 i 17 anys
4571,True,False,Espanyol,Home,16 i 17 anys
772,False,False,Espanyol,Home,16 i 17 anys
4279,True,False,Europa,Home,14 i 15 anys
1251,False,False,Espanyol,Dona,16 i 17 anys
4735,True,True,Espanyol,Home,16 i 17 anys
181,False,False,Espanyol,Home,16 i 17 anys
251,False,False,Espanyol,Home,14 i 15 anys
3169,False,False,Espanyol,Home,16 i 17 anys
4139,True,False,Magrib,Home,16 i 17 anys
839,True,False,Centre i Sud Amèrica,Home,16 i 17 anys
498,False,False,Espanyol,Home,16 i 17 anys
4157,True,False,Espanyol,Home,16 i 17 anys
2197,False,False,Espanyol,Home,16 i 17 anys
1204,False,False,Espanyol,Home,16 i 17 anys
2071,True,False,Centre i Sud Amèrica,Home,16 i 17 anys
1325,True,False,Espanyol,Home,14 i 15 anys
3126,True,False,Centre i Sud Amèrica,Home,14 i 15 anys
1560,False,False,Espanyol,Home,16 i 17 anys
4032,True,False,Espanyol,Home,16 i 17 anys
606,True,False,Magrib,Home,14 i 15 anys
4757,True,False,Magrib,Home,14 i 15 anys
3445,False,False,Espanyol,Home,16 i 17 anys
3443,False,False,Espanyol,Home,16 i 17 anys
2994,False,False,Espanyol,Dona,14 i 15 anys
1261,False,False,Espanyol,Home,16 i 17 anys
552,True,False,Espanyol,Home,14 i 15 anys
